Label,Count
unknown,8
Wind,463
Vegetation,215
Turdus viscivorus_Mistle Thrush,469
Turdus philomelos_Song Thrush,800
Turdus merula_Eurasian Blackbird,800
Troglodytes troglodytes_Eurasian Wren,800
Sylvia atricapilla_Eurasian Blackcap,800
Spinus spinus_Eurasian Siskin,99
Regulus regulus_Goldcrest,640
Regulus ignicapilla_Common Firecrest,800
Rain,477
Pyrrhula pyrrhula_Eurasian Bullfinch,53
Prunella modularis_Dunnock,121
Poecile palustris_Marsh Tit,31
Phylloscopus trochilus_Willow Warbler,800
Phylloscopus collybita_Common Chiffchaff,800
Periparus ater_Coal Tit,800
Pecking,180
Muscicapa striata_Spotted Flycatcher,373
Loxia curvirostra_Common Crossbill,164
Lophophanes cristatus_Crested Tit,262
Insect,13
Glaucidium passerinum_Eurasian Pygmy-Owl,27
Fringilla coelebs_Common Chaffinch,800
Erithacus rubecula_European Robin,800
Dryocopus martius_Black Woodpecker,147
Dendrocopos major_Great Spotted Woodpecker,284
Certhia familiaris_Eurasian Treecreeper,279
Bat,3
Aeroplane,41
