Label,Count
unknown,8
Wind,463
Vegetation,215
Turdus viscivorus_Mistle Thrush,793
Turdus philomelos_Song Thrush,3886
Turdus merula_Eurasian Blackbird,7626
Troglodytes troglodytes_Eurasian Wren,1044
Sylvia atricapilla_Eurasian Blackcap,2725
Spinus spinus_Eurasian Siskin,577
Regulus regulus_Goldcrest,1574
Regulus ignicapilla_Common Firecrest,2500
Rain,477
Pyrrhula pyrrhula_Eurasian Bullfinch,265
Prunella modularis_Dunnock,1225
Poecile palustris_Marsh Tit,155
Phylloscopus trochilus_Willow Warbler,1425
Phylloscopus collybita_Common Chiffchaff,4486
Periparus ater_Coal Tit,3614
Pecking,180
None,11291
Muscicapa striata_Spotted Flycatcher,1865
Loxia curvirostra_Common Crossbill,1230
Lophophanes cristatus_Crested Tit,2135
Insect,13
Glaucidium passerinum_Eurasian Pygmy-Owl,135
Fringilla coelebs_Common Chaffinch,5402
Erithacus rubecula_European Robin,1247
Dryocopus martius_Black Woodpecker,735
Dendrocopos major_Great Spotted Woodpecker,608
Certhia familiaris_Eurasian Treecreeper,1855
Bat,3
Aeroplane,41
