Label,Count
unknown,8
Wind,463
Vegetation,215
Turdus viscivorus_Mistle Thrush,101
Turdus philomelos_Song Thrush,3886
Turdus merula_Eurasian Blackbird,140
Troglodytes troglodytes_Eurasian Wren,1044
Sylvia atricapilla_Eurasian Blackcap,2725
Spinus spinus_Eurasian Siskin,9
Regulus regulus_Goldcrest,495
Regulus ignicapilla_Common Firecrest,2500
Rain,477
Pyrrhula pyrrhula_Eurasian Bullfinch,27
Prunella modularis_Dunnock,2
Poecile palustris_Marsh Tit,3
Phylloscopus trochilus_Willow Warbler,10
Phylloscopus collybita_Common Chiffchaff,1813
Periparus ater_Coal Tit,286
Pecking,180
Muscicapa striata_Spotted Flycatcher,231
Loxia curvirostra_Common Crossbill,134
Lophophanes cristatus_Crested Tit,104
Insect,13
Glaucidium passerinum_Eurasian Pygmy-Owl,27
Fringilla coelebs_Common Chaffinch,5402
Erithacus rubecula_European Robin,1247
Dryocopus martius_Black Woodpecker,46
Dendrocopos major_Great Spotted Woodpecker,34
Certhia familiaris_Eurasian Treecreeper,139
Bat,3
Aeroplane,41
