Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5200,E:/Giacomo/Tovanella/PROVA/valid\Aeroplane\20190621_070000_471_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7475,E:/Giacomo/Tovanella/PROVA/valid\Aeroplane\20190621_070000_474_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7922,E:/Giacomo/Tovanella/PROVA/valid\Aeroplane\20190621_070000_490_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6015,E:/Giacomo/Tovanella/PROVA/valid\Aeroplane\20190621_070000_510_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5454,E:/Giacomo/Tovanella/PROVA/valid\Aeroplane\20190621_070000_511_5.wav
0,3.0,None,None,0.8652,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_070000_189_0.wav
0,3.0,Erithacus rubecula,European Robin,0.6501,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_070000_192_0.wav
0,3.0,Erithacus rubecula,European Robin,0.8024,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_070000_247_5.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.7702,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_070000_250_5.wav
0,3.0,None,None,0.7397,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_070000_265_5.wav
0,3.0,Turdus philomelos,Song Thrush,0.5811,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_090000_298_5.wav
0,3.0,None,None,0.7634,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_090000_303_0.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.5862,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_090000_313_5.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.8660,E:/Giacomo/Tovanella/PROVA/valid\Certhia familiaris_Eurasian Treecreeper\20190608_090000_315_0.wav
0,3.0,None,None,0.5564,E:/Giacomo/Tovanella/PROVA/valid\Dendrocopos major_Great Spotted Woodpecker\20200215_070000_376_5.wav
0,3.0,Vegetation,Vegetation,0.9383,E:/Giacomo/Tovanella/PROVA/valid\Dendrocopos major_Great Spotted Woodpecker\20200215_120000_408_0.wav
0,3.0,Vegetation,Vegetation,0.5452,E:/Giacomo/Tovanella/PROVA/valid\Dendrocopos major_Great Spotted Woodpecker\20200215_120000_414_0.wav
0,3.0,Wind,Wind,0.5822,E:/Giacomo/Tovanella/PROVA/valid\Dendrocopos major_Great Spotted Woodpecker\20200215_120000_426_0.wav
0,3.0,Dryocopus martius,Black Woodpecker,0.9796,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_040000_181_5.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.6583,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_040000_181_5.wav
0,3.0,Dryocopus martius,Black Woodpecker,0.8124,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_040000_99_0.wav
0,3.0,Erithacus rubecula,European Robin,0.7618,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_226_5.wav
0,3.0,Dryocopus martius,Black Woodpecker,0.7595,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_226_5.wav
0,3.0,Dryocopus martius,Black Woodpecker,0.9923,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_231_0.wav
0,3.0,Dryocopus martius,Black Woodpecker,0.9583,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_235_5.wav
0,3.0,Dryocopus martius,Black Woodpecker,0.9782,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_355_5.wav
0,3.0,Erithacus rubecula,European Robin,0.5675,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_357_0.wav
0,3.0,Dryocopus martius,Black Woodpecker,0.8730,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_369_0.wav
0,3.0,Erithacus rubecula,European Robin,0.7910,E:/Giacomo/Tovanella/PROVA/valid\Dryocopus martius_Black Woodpecker\20190608_100000_375_0.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.6389,E:/Giacomo/Tovanella/PROVA/valid\Erithacus rubecula_European Robin\20190603_060000_109_5.wav
0,3.0,Regulus ignicapilla,Common Firecrest,0.5184,E:/Giacomo/Tovanella/PROVA/valid\Erithacus rubecula_European Robin\20190603_060000_109_5.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.6544,E:/Giacomo/Tovanella/PROVA/valid\Erithacus rubecula_European Robin\20190603_060000_111_0.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.7128,E:/Giacomo/Tovanella/PROVA/valid\Erithacus rubecula_European Robin\20190603_060000_114_0.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.6562,E:/Giacomo/Tovanella/PROVA/valid\Erithacus rubecula_European Robin\20190603_060000_126_0.wav
0,3.0,Fringilla coelebs,Common Chaffinch,0.5480,E:/Giacomo/Tovanella/PROVA/valid\Erithacus rubecula_European Robin\20190603_060000_133_5.wav
0,3.0,Troglodytes troglodytes,Eurasian Wren,0.8011,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_030000_40_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6384,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_030000_528_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6088,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_030000_529_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6105,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_030000_531_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5462,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_030000_546_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5187,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_105_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7369,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_106_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6265,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_108_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6483,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_109_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7638,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_111_0.wav
0,3.0,None,None,0.5216,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_123_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5620,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_126_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.8433,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_127_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7706,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_147_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7630,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_148_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5090,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_150_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7500,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_151_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7160,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_16_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7504,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_186_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.8836,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_187_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7058,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_189_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6827,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_18_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5952,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_1_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5225,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_1_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5208,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_21_0.wav
