Label,Count
Wind,838
Vegetation,222
Turdus merula_Eurasian Blackbird,758
Troglodytes troglodytes_Eurasian Wren,1160
Sylvia atricapilla_Eurasian Blackcap,3540
Regulus regulus_Goldcrest,1019
Regulus ignicapilla_Common Firecrest,2817
Phylloscopus collybita_Common Chiffchaff,2129
Periparus ater_Coal Tit,1000
Parus major_Great Tit,778
None,5000
Muscicapa striata_Spotted Flycatcher,289
Loxia curvirostra_Common Crossbill,1408
Lophophanes cristatus_Crested Tit,930
Fringilla coelebs_Common Chaffinch,8995
Erithacus rubecula_European Robin,1702
Coccothraustes coccothraustes_Hawfinch,526
Certhia familiaris_Eurasian Treecreeper,585
Anthus trivialis_Tree Pipit,661
Aeroplane,91
