Label,Count
Wind,873
Vegetation,223
Turdus merula_Eurasian Blackbird,760
Troglodytes troglodytes_Eurasian Wren,1215
Sylvia atricapilla_Eurasian Blackcap,3913
Regulus regulus_Goldcrest,948
Regulus ignicapilla_Common Firecrest,3022
Phylloscopus collybita_Common Chiffchaff,2189
Periparus ater_Coal Tit,1017
Parus major_Great Tit,108
None,5000
Muscicapa striata_Spotted Flycatcher,256
Loxia curvirostra_Common Crossbill,168
Lophophanes cristatus_Crested Tit,146
Fringilla coelebs_Common Chaffinch,9669
Erithacus rubecula_European Robin,1701
Coccothraustes coccothraustes_Hawfinch,82
Certhia familiaris_Eurasian Treecreeper,598
Anthus trivialis_Tree Pipit,668
Aeroplane,58
