Label,Count
Wind,362
Vegetation,201
Turdus philomelos_Song Thrush,3438
Turdus merula_Eurasian Blackbird,775
Troglodytes troglodytes_Eurasian Wren,1165
Sylvia atricapilla_Eurasian Blackcap,3027
Regulus regulus_Goldcrest,587
Regulus ignicapilla_Common Firecrest,2855
Rain,353
Phylloscopus collybita_Common Chiffchaff,1612
Periparus ater_Coal Tit,1900
Pecking,138
None,9438
Muscicapa striata_Spotted Flycatcher,1280
Loxia curvirostra_Common Crossbill,600
Lophophanes cristatus_Crested Tit,645
Fringilla coelebs_Common Chaffinch,5440
Erithacus rubecula_European Robin,1387
Dryocopus martius_Black Woodpecker,220
Dendrocopos major_Great Spotted Woodpecker,110
Certhia familiaris_Eurasian Treecreeper,895
Aeroplane,33
