Label,Count
Wind,731
Vegetation,188
Turdus philomelos_Song Thrush,4225
Turdus merula_Eurasian Blackbird,4251
Troglodytes troglodytes_Eurasian Wren,1189
Sylvia atricapilla_Eurasian Blackcap,3196
Regulus regulus_Goldcrest,1917
Regulus ignicapilla_Common Firecrest,3054
Rain,353
Phylloscopus collybita_Common Chiffchaff,1780
Periparus ater_Coal Tit,3991
Pecking,175
None,11000
Muscicapa striata_Spotted Flycatcher,277
Loxia curvirostra_Common Crossbill,235
Lophophanes cristatus_Crested Tit,421
Fringilla coelebs_Common Chaffinch,6662
Erithacus rubecula_European Robin,1407
Dryocopus martius_Black Woodpecker,156
Dendrocopos major_Great Spotted Woodpecker,486
Certhia familiaris_Eurasian Treecreeper,522
Aeroplane,47
