Label,Count
Wind,873
Vegetation,223
Turdus merula_Eurasian Blackbird,4152
Troglodytes troglodytes_Eurasian Wren,1215
Sylvia atricapilla_Eurasian Blackcap,3913
Regulus regulus_Goldcrest,6270
Regulus ignicapilla_Common Firecrest,3022
Phylloscopus collybita_Common Chiffchaff,2189
Periparus ater_Coal Tit,4549
Parus major_Great Tit,452
None,14727
Muscicapa striata_Spotted Flycatcher,1792
Loxia curvirostra_Common Crossbill,968
Lophophanes cristatus_Crested Tit,820
Fringilla coelebs_Common Chaffinch,9669
Erithacus rubecula_European Robin,1701
Cuculus canorus_Common Cuckoo,118
Coccothraustes coccothraustes_Hawfinch,492
Certhia familiaris_Eurasian Treecreeper,2684
Anthus trivialis_Tree Pipit,4079
Aeroplane,58
