Label,Count
Wind,873
Vegetation,223
Turdus merula_Eurasian Blackbird,11392
Troglodytes troglodytes_Eurasian Wren,1215
Sylvia atricapilla_Eurasian Blackcap,3913
Regulus regulus_Goldcrest,4457
Regulus ignicapilla_Common Firecrest,3022
Phylloscopus collybita_Common Chiffchaff,2189
Periparus ater_Coal Tit,8243
Parus major_Great Tit,344
None,14727
Muscicapa striata_Spotted Flycatcher,1390
Loxia curvirostra_Common Crossbill,922
Lophophanes cristatus_Crested Tit,1032
Fringilla coelebs_Common Chaffinch,9669
Erithacus rubecula_European Robin,1701
Cuculus canorus_Common Cuckoo,85
Coccothraustes coccothraustes_Hawfinch,669
Certhia familiaris_Eurasian Treecreeper,2344
Anthus trivialis_Tree Pipit,3893
Aeroplane,58
