Label,Count
Wind,455
Vegetation,219
Turdus merula_Eurasian Blackbird,658
Troglodytes troglodytes_Eurasian Wren,1159
Sylvia atricapilla_Eurasian Blackcap,3742
Regulus regulus_Goldcrest,582
Regulus ignicapilla_Common Firecrest,2777
Phylloscopus collybita_Common Chiffchaff,2014
Periparus ater_Coal Tit,883
Parus major_Great Tit,59
None,13374
Muscicapa striata_Spotted Flycatcher,256
Loxia curvirostra_Common Crossbill,158
Lophophanes cristatus_Crested Tit,132
Fringilla coelebs_Common Chaffinch,7901
Erithacus rubecula_European Robin,1554
Cuculus canorus_Common Cuckoo,17
Coccothraustes coccothraustes_Hawfinch,82
Certhia familiaris_Eurasian Treecreeper,372
Anthus trivialis_Tree Pipit,658
Aeroplane,41
