Label,Count
Wind,873
Vegetation,223
Turdus merula_Eurasian Blackbird,8760
Troglodytes troglodytes_Eurasian Wren,1215
Sylvia atricapilla_Eurasian Blackcap,3913
Regulus regulus_Goldcrest,2129
Regulus ignicapilla_Common Firecrest,3022
Phylloscopus collybita_Common Chiffchaff,2189
Periparus ater_Coal Tit,4711
Parus major_Great Tit,108
None,14727
Muscicapa striata_Spotted Flycatcher,366
Loxia curvirostra_Common Crossbill,290
Lophophanes cristatus_Crested Tit,504
Fringilla coelebs_Common Chaffinch,9669
Erithacus rubecula_European Robin,1701
Cuculus canorus_Common Cuckoo,17
Coccothraustes coccothraustes_Hawfinch,341
Certhia familiaris_Eurasian Treecreeper,856
Anthus trivialis_Tree Pipit,1261
Aeroplane,58
