Inizio: 6.00 s, Fine: 9.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.1127
Inizio: 9.00 s, Fine: 12.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.3427
Inizio: 12.00 s, Fine: 15.00 s, Specie: Periparus ater_Coal Tit, Confidence score: 0.4436
Inizio: 15.00 s, Fine: 18.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1145
Inizio: 18.00 s, Fine: 21.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1840
Inizio: 21.00 s, Fine: 24.00 s, Specie: Muscicapa striata_Spotted Flycatcher, Confidence score: 0.1617
Inizio: 21.00 s, Fine: 24.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1263
Inizio: 24.00 s, Fine: 27.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.3576
Inizio: 27.00 s, Fine: 30.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.2815
Inizio: 30.00 s, Fine: 33.00 s, Specie: Muscicapa striata_Spotted Flycatcher, Confidence score: 0.7269
Inizio: 30.00 s, Fine: 33.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2528
Inizio: 33.00 s, Fine: 36.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.3280
Inizio: 36.00 s, Fine: 39.00 s, Specie: Regulus ignicapilla_Common Firecrest, Confidence score: 0.2973
Inizio: 36.00 s, Fine: 39.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2623
Inizio: 36.00 s, Fine: 39.00 s, Specie: Muscicapa striata_Spotted Flycatcher, Confidence score: 0.2096
Inizio: 39.00 s, Fine: 42.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.5694
Inizio: 45.00 s, Fine: 48.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.4792
Inizio: 48.00 s, Fine: 51.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.7207
Inizio: 51.00 s, Fine: 54.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.3615
Inizio: 51.00 s, Fine: 54.00 s, Specie: Periparus ater_Coal Tit, Confidence score: 0.1884
Inizio: 54.00 s, Fine: 57.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.8483
Inizio: 57.00 s, Fine: 60.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1083
Inizio: 60.00 s, Fine: 63.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.5675
Inizio: 60.00 s, Fine: 63.00 s, Specie: Fringilla coelebs_Common Chaffinch, Confidence score: 0.1914
Inizio: 69.00 s, Fine: 72.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.7230
Inizio: 72.00 s, Fine: 75.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2358
Inizio: 84.00 s, Fine: 87.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1560
Inizio: 90.00 s, Fine: 93.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.2211
Inizio: 93.00 s, Fine: 96.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2133
Inizio: 96.00 s, Fine: 99.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1518
Inizio: 102.00 s, Fine: 105.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1664
Inizio: 105.00 s, Fine: 108.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.5072
Inizio: 105.00 s, Fine: 108.00 s, Specie: Muscicapa striata_Spotted Flycatcher, Confidence score: 0.1053
Inizio: 108.00 s, Fine: 111.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.5474
Inizio: 111.00 s, Fine: 114.00 s, Specie: Lophophanes cristatus_Crested Tit, Confidence score: 0.5809
Inizio: 114.00 s, Fine: 117.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.7881
Inizio: 117.00 s, Fine: 120.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1841
Inizio: 120.00 s, Fine: 123.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.5328
Inizio: 126.00 s, Fine: 129.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1898
Inizio: 126.00 s, Fine: 129.00 s, Specie: Periparus ater_Coal Tit, Confidence score: 0.1259
Inizio: 132.00 s, Fine: 135.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.3070
Inizio: 138.00 s, Fine: 141.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.3900
