Inizio: 0.00 s, Fine: 3.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.2956
Inizio: 6.00 s, Fine: 9.00 s, Specie: Turdus philomelos_Song Thrush, Confidence score: 0.1117
Inizio: 6.00 s, Fine: 9.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.1006
Inizio: 9.00 s, Fine: 12.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1102
Inizio: 12.00 s, Fine: 15.00 s, Specie: Certhia familiaris_Eurasian Treecreeper, Confidence score: 0.1088
Inizio: 15.00 s, Fine: 18.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.2604
Inizio: 18.00 s, Fine: 21.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.2905
Inizio: 18.00 s, Fine: 21.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.1828
Inizio: 24.00 s, Fine: 27.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.1000
Inizio: 27.00 s, Fine: 30.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.3593
Inizio: 33.00 s, Fine: 36.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1944
Inizio: 39.00 s, Fine: 42.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2170
Inizio: 42.00 s, Fine: 45.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1996
Inizio: 48.00 s, Fine: 51.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2729
Inizio: 48.00 s, Fine: 51.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1392
Inizio: 48.00 s, Fine: 51.00 s, Specie: Regulus ignicapilla_Common Firecrest, Confidence score: 0.1135
Inizio: 57.00 s, Fine: 60.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.1010
Inizio: 60.00 s, Fine: 63.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1701
Inizio: 63.00 s, Fine: 66.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1386
Inizio: 69.00 s, Fine: 72.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1784
Inizio: 72.00 s, Fine: 75.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2407
Inizio: 75.00 s, Fine: 78.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1256
Inizio: 81.00 s, Fine: 84.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1014
Inizio: 87.00 s, Fine: 90.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1271
Inizio: 90.00 s, Fine: 93.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1459
Inizio: 99.00 s, Fine: 102.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2053
Inizio: 105.00 s, Fine: 108.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.2998
Inizio: 105.00 s, Fine: 108.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.1161
Inizio: 114.00 s, Fine: 117.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1728
Inizio: 114.00 s, Fine: 117.00 s, Specie: Turdus philomelos_Song Thrush, Confidence score: 0.1180
Inizio: 117.00 s, Fine: 120.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.2276
Inizio: 120.00 s, Fine: 123.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.2367
Inizio: 123.00 s, Fine: 126.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.3951
Inizio: 141.00 s, Fine: 144.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1675
Inizio: 141.00 s, Fine: 144.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.1000
Inizio: 144.00 s, Fine: 147.00 s, Specie: Troglodytes troglodytes_Eurasian Wren, Confidence score: 0.2420
Inizio: 144.00 s, Fine: 147.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1394
Inizio: 147.00 s, Fine: 150.00 s, Specie: Regulus regulus_Goldcrest, Confidence score: 0.1882
Inizio: 147.00 s, Fine: 150.00 s, Specie: Sylvia atricapilla_Eurasian Blackcap, Confidence score: 0.1275
Inizio: 147.00 s, Fine: 150.00 s, Specie: Turdus philomelos_Song Thrush, Confidence score: 0.1159
Inizio: 147.00 s, Fine: 150.00 s, Specie: Certhia familiaris_Eurasian Treecreeper, Confidence score: 0.1022
