,train,test
Aeroplane_,0,21
Bat_,0,2
Certhia familiaris_Eurasian Treecreeper,43,9
Dendrocopos major_Great Spotted Woodpecker,13,5
Dryocopus martius_Black Woodpecker,21,10
Erithacus rubecula_European Robin,472,30
Fringilla coelebs_Common Chaffinch,2406,996
Glaucidium passerinum_Eurasian Pygmy-Owl,0,13
Insect_,0,3
Lophophanes cristatus_Crested Tit,36,13
Loxia curvirostra_Common Crossbill,73,22
Muscicapa striata_Spotted Flycatcher,0,125
Pecking_,80,4
Periparus ater_Coal Tit,108,44
Phylloscopus collybita_Common Chiffchaff,0,999
Phylloscopus trochilus_Willow Warbler,0,5
Poecile palustris_Marsh Tit,0,2
Pyrrhula pyrrhula_Eurasian Bullfinch,0,9
Rain_,221,9
Regulus ignicapilla_Common Firecrest,1254,146
Regulus regulus_Goldcrest,209,37
Sylvia atricapilla_Eurasian Blackcap,1506,292
Troglodytes troglodytes_Eurasian Wren,384,186
Turdus merula_Eurasian Blackbird,68,5
Turdus philomelos_Song Thrush,1709,28
Turdus viscivorus_Mistle Thrush,0,43
unknown_,0,2
Vegetation_,48,23
Wind_,148,39
