,Species Name,Total,Duration,Count
0,Turdus merula,2308,0-1s,260
1,Phylloscopus collybita,819,0-1s,254
2,Periparus ater,768,0-1s,86
3,Troglodytes troglodytes,530,0-1s,14
4,Regulus regulus,437,0-1s,169
5,Phylloscopus trochilus,418,0-1s,15
6,Dendrocopos major,242,0-1s,148
7,Turdus viscivorus,229,0-1s,43
8,Lophophanes cristatus,132,0-1s,63
9,Muscicapa striata,117,0-1s,111
10,Spinus spinus,102,0-1s,41
11,Certhia familiaris,96,0-1s,42
12,Prunella modularis,75,0-1s,1
13,Dryocopus martius,32,0-1s,1
14,Loxia curvirostra,25,0-1s,7
15,Poecile palustris,12,0-1s,4
16,Pyrrhula pyrrhula,8,0-1s,3
17,Turdus merula,2308,1-2s,879
18,Phylloscopus collybita,819,1-2s,91
19,Periparus ater,768,1-2s,325
20,Troglodytes troglodytes,530,1-2s,36
21,Regulus regulus,437,1-2s,100
22,Phylloscopus trochilus,418,1-2s,110
23,Dendrocopos major,242,1-2s,75
24,Turdus viscivorus,229,1-2s,117
25,Lophophanes cristatus,132,1-2s,40
26,Muscicapa striata,117,1-2s,3
27,Spinus spinus,102,1-2s,7
28,Certhia familiaris,96,1-2s,30
29,Prunella modularis,75,1-2s,9
30,Dryocopus martius,32,1-2s,8
31,Loxia curvirostra,25,1-2s,5
32,Poecile palustris,12,1-2s,7
33,Pyrrhula pyrrhula,8,1-2s,1
34,Turdus merula,2308,>2s,1169
35,Phylloscopus collybita,819,>2s,474
36,Periparus ater,768,>2s,357
37,Troglodytes troglodytes,530,>2s,480
38,Regulus regulus,437,>2s,168
39,Phylloscopus trochilus,418,>2s,293
40,Dendrocopos major,242,>2s,19
41,Turdus viscivorus,229,>2s,69
42,Lophophanes cristatus,132,>2s,29
43,Muscicapa striata,117,>2s,3
44,Spinus spinus,102,>2s,54
45,Certhia familiaris,96,>2s,24
46,Prunella modularis,75,>2s,65
47,Dryocopus martius,32,>2s,23
48,Loxia curvirostra,25,>2s,13
49,Poecile palustris,12,>2s,1
50,Pyrrhula pyrrhula,8,>2s,4
